video_name,begin_time,ending_time,begin_frame,ending_frame,duration
movie2-Scene-042.mp4,191.9333333333333,196.05,11516,11763,4.116666666666674
movie2-Scene-043.mp4,196.05,201.88333333333333,11763,12113,5.833333333333314
movie2-Scene-044.mp4,201.88333333333333,207.7333333333333,12113,12464,5.849999999999994
movie2-Scene-045.mp4,207.7333333333333,211.88333333333333,12464,12713,4.150000000000006
movie2-Scene-046.mp4,211.88333333333333,217.86666666666667,12713,13072,5.9833333333333485
movie2-Scene-047.mp4,217.86666666666667,221.88333333333333,13072,13313,4.016666666666652
movie2-Scene-048.mp4,221.88333333333333,225.88333333333333,13313,13553,4.0
movie2-Scene-049.mp4,225.88333333333333,231.88333333333333,13553,13913,6.0
movie2-Scene-050.mp4,231.88333333333333,235.0,13913,14100,3.1166666666666742
movie2-Scene-051.mp4,235.0,238.13333333333333,14100,14288,3.1333333333333258
movie2-Scene-052.mp4,238.13333333333333,241.88333333333333,14288,14513,3.75
movie2-Scene-053.mp4,241.88333333333333,247.16666666666663,14513,14830,5.283333333333331
movie2-Scene-054.mp4,247.16666666666663,248.03333333333333,14830,14882,0.8666666666666742
movie3-Scene-001.mp4,0.0,3.169833333333333,0,76,3.169833333333333
movie3-Scene-002.mp4,3.169833333333333,6.172833333333333,76,148,3.003
movie3-Scene-003.mp4,6.172833333333333,9.175833333333332,148,220,3.003
movie3-Scene-004.mp4,9.175833333333332,12.303958333333332,220,295,3.128124999999999
movie3-Scene-005.mp4,12.303958333333332,16.016,295,384,3.712041666666666
movie3-Scene-006.mp4,16.016,21.43808333333333,384,514,5.422083333333333
movie3-Scene-007.mp4,21.43808333333333,24.44108333333333,514,586,3.003
movie3-Scene-008.mp4,24.44108333333333,27.44408333333333,586,658,3.003
movie3-Scene-009.mp4,27.44408333333333,30.44708333333333,658,730,3.003
movie3-Scene-010.mp4,30.44708333333333,33.45008333333333,730,802,3.003
movie3-Scene-011.mp4,33.45008333333333,38.913875,802,933,5.4637916666666655
movie3-Scene-012.mp4,38.913875,41.916875,933,1005,3.003
movie3-Scene-013.mp4,41.916875,45.62891666666666,1005,1094,3.712041666666664
movie3-Scene-014.mp4,45.62891666666666,48.63191666666666,1094,1166,3.003
movie3-Scene-015.mp4,48.63191666666666,51.63491666666666,1166,1238,3.003
movie3-Scene-016.mp4,51.63491666666666,54.63791666666666,1238,1310,3.003
movie3-Scene-017.mp4,54.63791666666666,57.64091666666666,1310,1382,3.003
movie3-Scene-018.mp4,57.64091666666666,60.64391666666666,1382,1454,3.003
movie3-Scene-019.mp4,60.64391666666666,63.64691666666666,1454,1526,3.003
movie3-Scene-020.mp4,63.64691666666666,66.64991666666666,1526,1598,3.002999999999993
movie3-Scene-021.mp4,66.64991666666666,69.65291666666666,1598,1670,3.003
movie3-Scene-022.mp4,69.65291666666666,72.65591666666666,1670,1742,3.003
movie3-Scene-023.mp4,72.65591666666666,75.65891666666666,1742,1814,3.003
movie3-Scene-024.mp4,75.65891666666666,78.74533333333333,1814,1888,3.086416666666679
movie3-Scene-025.mp4,78.74533333333333,81.74833333333332,1888,1960,3.002999999999986
